name,size,speed,exec_duration,proof_duration,total_duration,verify_duration,total_cycles,user_cycles,output_bytes,proof_bytes,max_memory
matrix_ops-10,10,2.4537477,10171167,4065227292,4075398459,12619875,262144,194191,8,222668,37371904
matrix_ops-20,20,0.8042821,39533417,24827362583,24866896000,12550542,2097152,1532295,8,222668,773963776
matrix_ops-30,30,0.4270487,128289458,70121308125,70249597583,12659084,5505024,5155019,8,222668,2301165568
matrix_ops-40,40,0.24656707,297175416,161930481208,162227656624,13162250,12845056,12195740,8,222668,2428502016
matrix_ops-50,50,0.15833358,564239125,315224728417,315788967542,12611791,25165824,23797973,8,222668,2452176896
